,rec_name,tot_time_seconds,rec_source,rating
Double-Mint-Brownies-1183180,Double Mint Brownies,3300.0,Inspiration for Moms,4
Healthy-Double-Chocolate-Banana-Brownies-1202493,Healthy Double Chocolate Banana Brownies,3000.0,Chocolate Salad,4
Brownie-Crinkle-Bites-1199262,Brownie Crinkle Bites,1800.0,Mart'ys Musings,4
Easy-Double-Chocolate-Chip-Brownies-1389882,Easy Double Chocolate Chip Brownies,1680.0,VeryBestBaking,3
Peanut-butter-snickers-brownie-skillet-335024,Peanut Butter Snickers Brownie Skillet,3600.0,Picky Palate,5
Cherry-Almond-Brownies-1175251,Cherry Almond Brownies,3600.0,It Bakes Me Happy,4
Mega-Brownie-Ice-Cream-Sandwiches-627628,Mega Brownie Ice Cream Sandwiches,2220.0,Unilever North America,4
Monster-Cookie-Dough-Brownies-1286311,Monster Cookie Dough Brownies,2700.0,Culinary Concoctions by Peabody,4
Caramel-Pretzel-Crunch-Brownies-1093250,Caramel Pretzel Crunch Brownies,9600.0,Betty Crocker,3
Brownie-Brittle-Toffee-1072919,Brownie Brittle Toffee,1500.0,"Chocolate, Chocolate and More",4
Irish-Cream-Brownies-1353561,Irish Cream Brownies,3600.0,Everyday Dishes,3
Fudgy-Waffle-Brownies-1157500,Fudgy Waffle Brownies,2100.0,Good Housekeeping,3
Peanut-Butter-Fudge-Brownies-_ExpressLaneCooking-1506444,Peanut Butter Fudge Brownies #ExpressLaneCooking,1200.0,Big Bear's Wife,4
Chocolate-Pumpkin-Swirl-Brownies-1330955,Chocolate Pumpkin Swirl Brownies,3600.0,Inspiration for Moms,4
Fudgey_-Cakey-or-Chewy_-The-Science-of-Brownie-Baking-751776,"Fudgey, Cakey or Chewy? The Science of Brownie Baking",3000.0,Do You Want Science With That?,4
Peppermint-Brownies-1372112,Peppermint Brownies,3000.0,Bakerita,4
Chocolate-Covered-Pretzel-Caramel-Brownies-1570247,Chocolate Covered Pretzel Caramel Brownies,3000.0,Chocolate Moosey,4
Chocolate-Brownie-Biscotti-1154442,Chocolate Brownie Biscotti,5700.0,Good Housekeeping,3
The-Best-Coconut-Flour-Brownies-1270778,The Best Coconut Flour Brownies,4500.0,Coconut Mama,4
Healthy-Vegan-Brownies-1228052,Healthy Vegan Brownies,2400.0,Nadias Healthy Kitchen,4
4-Ingredient-Vegan-Sweet-Potato-Brownies-_-Vegan_-Gluten-free-1622071,"4-Ingredient Vegan Sweet Potato Brownies | Vegan, Gluten-free",2400.0,The Tofu Diaries,4
Patriotic-Mini-Brownie-Dessert-Pizzas-1690314,Patriotic Mini Brownie Dessert Pizzas,1800.0,Whole and Heavenly Oven,4
Double-Chocolate-Brownies-1366778,Double Chocolate Brownies,3300.0,Melissa's Southern Style Kitchen,4
Bailey_s-Irish-Kiss-Brownie-Thumbprints-1036043,Bailey's Irish Kiss Brownie Thumbprints,,Frugal Foodie Mama,4
Easter-Fudge-Brownies-1210384,Easter Fudge Brownies,3480.0,Un Entitled Life,4
Low-Fat-Zucchini-Brownie-1385980,Low-Fat Zucchini Brownie,2400.0,HRecipes.com,4
Chocolate-Mint-Brownies-470596,Chocolate Mint Brownies,3900.0,Tracey's Culinary Adventures,4
Homemade-Brownie-Batter-Hot-Fudge-Sauce-1455527,Homemade Brownie Batter Hot Fudge Sauce,1500.0,Iowa Girl Eats,4
Black-Bean-Brownies-748285,Black Bean Brownies,2700.0,Happy Herbivore,3
Chocolate-Chip-Cookie-Dough-Brownies-1505432,Chocolate Chip Cookie Dough Brownies,5400.0,The Kitchen is My Playground,4
Triple-Chocolate-Brownie-Batter-Cookies-677317,Triple Chocolate Brownie Batter Cookies,900.0,Averie Cooks,4
M_M-Cheesecake-Brownies-1531515,M&M Cheesecake Brownies,3900.0,Can't Stay Out of the Kitchen,4
Chocolate-cherry-brownies-308803,Chocolate Cherry Brownies,57600.0,101 Cookbooks,5
Malted-Chocolate-Brownies-1250917,Malted Chocolate Brownies,2100.0,An Edible Mosaic,4
S_mores-Brownies-1113973,S'mores Brownies,4500.0,Unusually Lovely,4
M_M-Cookie-Brownie-Bars-1505578,M&M Cookie Brownie Bars,3600.0,Life is but a Dish,4
Loaded-Kit-Kat-Peanut-Butter-Brownies-578923,Loaded Kit Kat Peanut Butter Brownies,3000.0,An Edible Mosaic,4
Outrageous-Snickers-Brownies-1300064,Outrageous Snickers Brownies,2100.0,The Baking Chocola Tess,4
Chocolate-Surprise-Brownies-1443145,Chocolate Surprise Brownies,2100.0,Robin Robertson Global Vegan kitchen,4
Nutella-and-Hazelnut-Brownies-518552,Nutella and Hazelnut Brownies,3000.0,Recetas del Señor Señor,4
Orange-Kissed-Chocolate-Brownies-793214,Orange-Kissed Chocolate Brownies,3900.0,Better Homes and Gardens,3
